skill_name,External_Sourcing,geo_group,city_ip,n_devs,n_devs_bi,n_accs,n_p2_devs,n_ntes,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_dcs,acc_days_median,p2_days_median,nte_days_median,icf_days_median,dc_days_median,hourly_rate_median,min_dev_skill_cost,max_dev_skill_cost,minCost_per_su,maxCost_per_su,su_to_icf_30_perc,su_to_icf_60_perc,su_to_icf_90_perc,su_to_icf_365_perc,rate_geo_median,city_tier,lat,lng
React,N,LATAM,Buenos Aires,3118,2767,153,150,67,191,45,54,65,155,3,37.0,37.0,74.0,161.0,75.0,1.6250000000005203,9869.335146495863,12079.982069144007,3.16527746840791,3.8742726328236072,0.014432328415651058,0.01731879409878127,0.02084669660038486,0.04971135343168698,2.4460227272726494,2,-34.61315,-58.37723
React,N,LATAM,Córdoba,1040,911,39,37,13,55,17,19,26,51,1,80.0,59.0,58.0,92.0,512.0,1.1374999999992201,3245.4256616023463,3937.0452340044976,3.120601597694564,3.785620417312017,0.016346153846153847,0.01826923076923077,0.025,0.04903846153846154,2.4460227272726494,2,-31.4135,-64.18105
React,N,LATAM,Santiago de Cali,971,877,62,62,32,81,25,37,39,68,1,39.0,45.0,56.5,99.0,276.0,1.95681818181807,3427.32567826447,4633.21033833757,3.5296865893557876,4.771586342263203,0.025746652935118436,0.03810504634397528,0.04016477857878476,0.07003089598352215,2.4460227272726494,2,-3.43722,-76.5225
React,N,LATAM,Salvador,619,545,34,34,16,43,10,10,17,36,0,53.5,53.5,46.5,182.0,,2.280431818254792,2250.9122251961962,2845.604514321409,3.636368699832304,4.5970993769328095,0.01615508885298869,0.01615508885298869,0.027463651050080775,0.05815831987075929,2.4460227272726494,2,-12.97563,-38.49096
React,N,LATAM,Barranquilla,524,467,41,37,15,45,13,18,22,37,1,24.0,27.0,68.0,126.0,116.0,2.166477272727228,1719.719795082793,2267.651162618779,3.281908005883193,4.32757855461599,0.02480916030534351,0.03435114503816794,0.04198473282442748,0.07061068702290077,2.4460227272726494,2,10.96854,-74.78132
React,N,LATAM,Rosario,476,418,16,17,8,33,12,14,17,26,1,16.0,20.0,33.5,81.0,396.0,1.46250000000104,1544.9118847675281,1894.7186503953835,3.2456132032931264,3.9805013663768563,0.025210084033613446,0.029411764705882353,0.03571428571428571,0.0546218487394958,2.4460227272726494,2,-32.95113,-60.6665
React,N,LATAM,La Plata,385,342,15,16,8,15,4,5,5,11,1,40.0,36.5,47.0,245.0,62.0,1.2999999999987,1084.130875945081,1359.608303861321,2.8159243531041067,3.531450139899535,0.01038961038961039,0.012987012987012988,0.012987012987012988,0.02857142857142857,2.4460227272726494,2,-34.92145,-57.95453
React,N,LATAM,Manaus,371,313,13,13,9,25,8,8,8,19,1,142.0,140.0,169.0,178.0,323.0,2.280431818254792,1373.7784524733006,1922.396734470689,3.7029068799819425,5.181662357063852,0.0215633423180593,0.0215633423180593,0.0215633423180593,0.05121293800539083,2.4460227272726494,2,-3.10194,-60.025
React,N,LATAM,San Miguel de Tucumán,357,310,9,9,7,14,4,4,5,11,0,27.5,28.0,40.0,154.0,,1.01562499999961,1106.6031671232247,1283.5508199917292,3.0997287594488085,3.5953804481561042,0.011204481792717087,0.011204481792717087,0.014005602240896359,0.03081232492997199,2.4460227272726494,2,-26.82,-65.21
React,N,LATAM,Mar del Plata,337,301,12,12,5,12,3,4,4,7,1,45.0,45.0,45.0,227.5,60.0,1.2999999999987,1045.604576642072,1205.0129465970526,3.1026842036856737,3.575706072988287,0.008902077151335312,0.011869436201780416,0.011869436201780416,0.020771513353115726,2.4460227272726494,2,-38.00042,-57.5562
